Institution ID,Institution Name,City,State/Province,Country
121,Shandong university,Jinan,Shandong,China
122,Guangdong University of Finance,Guangzhou,GuangDong,China
123,Nanjing University of Information Science & Technology,"Nanjing,Jiangsu Province",,China
124,Wheaton College (IL),Wheaton IL,IL,USA
125,Heilongjiang College of Construction,Harbin,Heilongjiang,China
126,Shenyang Normal University,Shenyang,Liaoning,China
127,Ningxia University,Yinchuan,the Ningxia Hui Autonomous Region,China
128,Minzu University of China,Beijing,Beijing,China
129,Shiyuan College of Guangxi Teachers Education University,Nanning,Guangxi,China
130,SHANGHAI JIAO TONG UNIVERSITY,Shanghai,SHANGHAI,China
131,Yangtze University,Jingzhou,Hubei,China
132,Nanjing University of Information Science and Technology,Nanjing,Jiangsu,China
133,Hangzhou Normal University,Hangzhou,Zhejiang,China
134,Changchun University of Science and Technology,Changchun,Jilin,China
135,Heilongjiang University,Harbin,Heilongjiang,China
136,Zhongnan University Of Economics And Laws,Wuhan,Hubei,China
137,He'nan Normal University,xinxiang,Henan,China
138,Central University of Finance and Ecomomics,Beijing,Asia,China
139,"State University of New York, University at Buffalo",Buffalo,NY,USA
140,Huazhon university of science and technology,Wuhan,Hubei,China
141,North China ELectric Power University,Beijing,,China
142,BeijingÂ UniversityÂ ofÂ Post and Telecommunication,Beijing,Beijing,China
143,School of Mathematics,BeiJing,,China
144,Kunming University of Science and Technology,Kunming,Yunnan,China
145,Sichuan Agricultural University,Ya'an,Sichuan,China
146,South University of Science and Technology of China,Shenzhen,Guangdong,China
147,Henan normal university,xinxiang,henan,China
148,University of Science and Technology Beijing,Beijing,Beijing,China
149,University of International and Economics,Beijing,,China
150,Universitiy of International Business and Economics,Beijing,,China
151,University of International business and economics,Beijing,Beijing,China
152,The University of International Business and Economics,Being,,China
153,University of International Business and Econmics,Beijing,Beijing,China
154,IUPUI,Indianapolis,IN,USA
155,Anqing Normal University,Anqing,Anhui,China
156,Ningbo University,Ningbo,ZheJiang,China
